Geneid	dmso_24h_n_1	dmso_24h_n_2	dmso_24h_n_3	thapsigargin_6h_n_1	thapsigargin_6h_n_2	thapsigargin_6h_n_3	thapsigargin_24h_n_1	thapsigargin_24h_n_2	thapsigargin_24h_n_3
Gphn	4473	4274	4209	5150	1637	3072	4093	3036	3833
Fam71d	51	11	26	9	13	20	26	21	12
Mpp5	2121	2070	2072	2247	742	1130	2047	1582	2114
Atp6v1d	4556	4597	3903	3809	1246	2085	4339	3599	4574
Eif2s1	5919	5699	5140	5625	1895	3374	6529	5123	6616
Plek2	187	151	141	196	117	107	172	155	155
Tmem229b	3029	3578	2748	1510	711	982	1703	1308	1679
Plekhh1	2225	1901	1981	1618	579	1088	1618	1132	1341
Pigh	979	916	898	802	274	426	1054	747	999
9230116L04Rik	109	47	75	49	37	20	84	44	51
Arg2	75	122	101	155	47	67	92	76	102
Vti1b	2299	2494	2164	1805	679	1067	2673	2383	2793
Rdh11	1719	1761	1624	1708	581	971	2526	1983	2486
Rdh12	188	199	187	138	93	140	304	194	230
Zfyve26	1787	1084	1569	1428	663	1083	2562	1889	1809
Rad51b	208	143	171	187	77	169	145	150	102
9430078K24Rik	0	0	3	0	28	15	4	0	0
Zfp36l1	38	21	14	48	54	36	21	17	33
2310015A10Rik	1274	1093	1067	748	304	379	836	755	717
Actn1	5223	4913	4243	4073	1405	1963	4911	3864	4651
Dcaf5	3427	3492	3220	3900	1318	2561	3863	3112	3820
Mir1843a	0	0	0	0	0	0	0	0	0
Scarna3b	3	0	3	0	1	0	2	0	2
Exd2	1391	1461	1410	1364	467	914	1602	1518	1669
2310002D06Rik	3	0	0	6	17	0	0	0	0
Galnt16	60	65	53	70	86	84	98	78	82
Erh	3396	3711	3244	3425	1136	2223	3731	3373	4127
Slc39a9	6532	6096	5916	6499	2220	3914	8341	6757	8730
Plekhd1os	2	2	0	12	15	13	0	0	0
Plekhd1	99	88	120	46	101	109	75	31	56
Ccdc177	80	94	93	49	75	69	297	197	270
Susd6	6155	5863	5250	4844	1436	2559	4643	3637	4889
1700052I22Rik	0	0	0	0	7	0	3	0	0
Gm20337	99	63	82	77	48	22	107	76	95
Srsf5	13245	10000	11681	13665	4304	7404	14610	12203	13201
Slc10a1	0	0	1	0	12	33	7	0	2
Smoc1	1635	1663	1594	2828	842	1698	3703	3002	3449
Mir3067	0	0	2	17	7	0	2	12	2
Slc8a3	164	182	197	161	147	110	232	196	204
Cox16	223	266	251	252	118	43	297	381	413
Synj2bp-cox16	43	34	38	27	8	0	19	38	26
Gm4787	28	34	32	40	17	17	53	44	19
Adam4	54	48	43	55	20	12	58	31	42
Synj2bp	3936	3526	3612	3388	1108	1962	3983	2968	3586
Adam21	51	18	18	31	16	51	45	33	12
Med6	1106	1070	1093	1139	395	652	1101	906	1052
Ttc9	1026	870	862	878	328	331	1296	1027	1073
Map3k9	3050	3072	3052	2031	771	1168	2814	1890	2232
Pcnx	7422	6808	7056	6696	2155	3474	8316	5910	7126
Sipa1l1	4825	4491	4459	5133	1682	3354	9301	6844	7705
Rgs6	5	4	10	2	54	66	5	0	5
1700085C21Rik	0	0	0	4	16	12	5	0	0
Dpf3	350	276	330	217	157	168	237	167	174
Dcaf4	512	489	526	425	214	264	711	435	568
Zfyve1	1816	1662	1801	1750	642	1090	1991	1541	1821
Rbm25	7171	5147	6345	8002	2436	4244	7705	6094	6679
Psen1	4271	4188	3755	4066	1423	2257	4962	3894	4880
Papln	2	20	25	35	147	135	36	25	18
Numb	1048	985	1086	1545	429	723	1362	1022	1296
2410016O06Rik	476	473	436	455	195	434	466	414	573
Acot2	367	430	371	844	261	513	2084	1850	2287
Acot1	0	1	0	2	32	39	7	6	2
Acot4	0	2	3	6	31	15	8	0	1
Acot3	0	0	0	4	39	14	7	1	3
Acot5	0	0	0	6	20	22	1	0	0
Acot6	23	16	19	17	61	67	34	18	22
Dnal1	1942	2012	2102	1669	536	950	1802	1295	1742
Pnma1	115	91	106	109	80	95	150	66	76
Elmsan1	2526	2647	2725	7078	2463	3594	9882	9300	10369
Ptgr2	2577	2261	2211	1628	535	951	2355	1811	2323
Zfp410	2584	1988	2206	2760	790	1125	2641	2114	2470
Fam161b	379	334	338	511	200	246	501	286	468
Coq6	724	532	574	628	253	447	784	616	644
Entpd5	3435	3517	3307	2082	729	1414	3487	2647	3229
Ccdc176	310	138	261	255	101	142	319	230	224
Rnf113a2	624	727	634	867	265	503	582	560	729
Aldh6a1	1681	1659	1748	1218	497	895	1737	1230	1732
Lin52	1177	1183	1054	1356	415	814	1272	1102	1304
Vsx2	10	8	3	13	88	14	19	16	0
Abcd4	402	269	369	316	165	200	428	319	308
Vrtn	1	3	3	43	61	19	140	42	65
Syndig1l	5509	6723	6137	4744	1915	3110	3776	3163	3983
Npc2	2263	2379	2211	1588	533	1007	2202	1738	2213
Isca2	1754	1526	1373	1401	389	868	1731	1279	1537
Ltbp2	14	18	23	28	196	208	37	13	16
D030025P21Rik	0	0	0	2	60	31	33	0	0
Arel1	6584	6913	6394	5933	2020	3282	7706	5918	6932
Fcf1	1100	900	916	842	299	534	1211	1037	1215
Ylpm1	8686	6949	7034	7468	2296	3840	10161	7265	7517
Prox2	138	113	109	121	74	172	137	110	117
Dlst	5330	5049	4986	5626	1768	3305	5066	4325	5207
Rps6kl1	204	295	218	378	188	298	331	315	284
Pgf	10	20	12	25	53	49	36	0	17
Eif2b2	1772	1761	1620	1756	683	1040	1853	1772	1953
Mlh3	2065	1774	1816	1639	605	1142	3138	2273	2631
Mir6938	0	0	3	0	0	0	0	0	0
Acyp1	433	513	442	253	138	199	407	359	455
Zc2hc1c	689	697	682	508	215	305	512	408	479
Nek9	7238	6343	6674	7267	2442	4490	9374	7453	8907
Tmed10	19974	20416	18630	15880	5912	10347	24813	20276	25718
Fos	1213	585	540	2686	759	1066	934	586	795
Jdp2	65	62	68	575	281	471	423	274	364
Batf	4	0	0	0	18	3	0	0	0
Mfsd7c	11	23	17	10	71	0	32	18	22
0610007P14Rik	1906	1910	1601	1547	569	994	2114	1679	2058
Ttll5	2000	1973	1992	2012	783	1447	2425	1862	2008
Tgfb3	288	329	389	292	161	146	270	244	368
Ift43	162	147	170	120	84	116	168	149	177
Gm805	0	0	1	3	25	8	3	0	3
Gpatch2l	1732	1726	1705	2285	666	1168	2146	1918	2161
Esrrb	12	9	14	52	102	68	77	14	32
Vash1	3986	3594	3427	3002	1065	1791	4124	3218	4021
Angel1	1098	1001	1060	838	382	599	1300	870	1215
Lrrc74a	2	0	1	4	67	104	7	0	0
Irf2bpl	5454	5553	5249	5271	1634	3066	3563	2983	3524
Cipc	2206	1978	1958	2580	700	1237	2421	1801	2131
Zdhhc22	171	178	136	215	109	89	421	318	365
Tmem63c	1194	837	983	1202	496	758	1572	1402	1138
Ngb	32	26	14	9	35	6	28	22	6
Pomt2	3589	3181	2987	2703	1004	1339	4005	2993	3567
Gstz1	2886	2851	2645	2515	929	1725	3460	2653	3215
Tmed8	8402	7943	7791	6028	1870	2621	5705	4239	5349
Samd15	80	87	93	55	47	26	86	69	83
Noxred1	9	23	22	41	20	19	39	7	26
Vipas39	2371	2191	2145	1761	677	1318	2607	1924	2254
Ahsa1	2670	2654	2190	2192	770	1413	3368	2870	3478
Ism2	32	43	43	22	68	0	29	55	29
Sptlc2	2726	2404	2476	2403	781	1079	2568	2042	2492
Alkbh1	1198	739	943	1161	398	507	1236	941	996
Mir3068	26	25	11	10	4	19	50	16	12
Nrp	201	104	166	149	73	50	176	130	113
Slirp	1146	1194	917	728	323	560	1037	900	1048
Snw1	3140	3429	3134	3480	1276	1827	4652	4434	5067
Gm8300	1	0	3	0	10	0	14	22	22
Gm2042	0	0	0	0	2	0	4	0	0
Oog1	0	0	0	0	0	0	0	0	0
BB287469	0	0	0	5	9	0	7	0	12
Gm4027	0	0	0	0	0	0	0	0	0
Gm16381	0	0	0	0	1	18	0	0	1
Gm21319	0	0	0	2	8	12	15	10	5
Gm1995	0	2	0	13	64	32	8	18	0
Gm2016	0	0	1	0	6	3	2	14	1
Gm2022	1	0	0	4	8	0	24	48	18
Gm10436	0	0	0	0	2	0	0	0	2
Gm5662	1	0	0	7	9	0	21	33	20
Gm7104	0	2	7	4	41	34	0	0	0
Gm5039	5	4	7	4	8	13	28	29	24
Adck1	762	725	638	531	237	408	818	565	854
3200001D21Rik	0	0	0	0	5	1	1	0	2
Nrxn3	714	519	507	592	332	442	622	409	435
Dio2	454	278	318	180	86	140	123	89	133
Cep128	1645	1583	1511	1713	632	960	1464	1032	1339
5430427M07Rik	2	0	0	0	5	0	1	0	0
Mir669c	0	0	0	0	2	0	0	0	0
Tshr	54	43	48	34	53	41	15	5	14
Gtf2a1	6321	5851	6117	6602	2097	3207	9014	7058	8665
Ston2	1874	1946	1975	1704	597	892	1242	1206	1440
Sel1l	10925	10309	9501	14838	4876	8108	23456	19190	22674
4930559C10Rik	0	0	0	2	5	0	0	0	0
Mir8099-2	0	0	0	0	0	0	0	0	0
Mir8099-1	0	0	0	0	0	0	0	0	0
Flrt2	828	745	789	694	235	332	621	441	541
1700019M22Rik	0	0	0	0	0	0	0	0	0
Galc	3282	3004	2388	2416	793	1335	3104	2383	2898
Gpr65	0	1	0	9	13	0	0	0	7
Kcnk10	74	58	38	82	88	33	222	174	204
Spata7	1028	940	926	1333	416	796	1074	849	1031
Ptpn21	2294	1944	2013	2836	914	1367	3758	2950	3681
Zc3h14	17825	16288	15730	17346	5731	10036	15233	11971	15495
Eml5	23208	12172	18937	17056	4818	7828	14917	9567	9872
Ttc8	2645	2351	2213	2132	763	1334	2289	1643	2286
4930474N09Rik	1	0	5	5	9	0	7	0	3
Foxn3	1723	1593	1869	1480	502	844	1794	1386	1547
1700064M15Rik	10	3	10	3	36	0	20	0	10
Efcab11	231	190	165	186	116	95	185	198	163
Tdp1	1378	1182	1049	1202	455	737	1456	1056	1271
Kcnk13	3	8	12	4	47	36	19	8	12
Psmc1	6909	6920	6303	5740	2311	3955	7013	6562	7161
Nrde2	1148	1030	1017	1043	421	664	1189	1020	1110
Gm10433	104	59	71	67	55	63	127	84	89
Calm1	42821	43592	39050	26499	9641	16771	34120	27794	34306
Gm10432	12	12	8	22	55	21	13	18	5
Ttc7b	2854	2891	2718	2504	795	1482	3854	2971	3485
Rps6ka5	1831	1854	1858	2052	614	1214	1584	1365	1568
9030617O03Rik	80	104	79	74	94	102	106	54	80
Gpr68	7	12	10	6	93	49	30	8	8
Ccdc88c	1478	1227	1148	1121	446	583	1004	656	755
Mir1190	3	3	3	4	4	26	0	4	0
Smek1	10417	8651	8745	13094	3687	6656	11164	9134	10953
D130020L05Rik	163	128	136	149	106	82	163	114	139
Kif4-ps	0	0	1	2	25	19	1	0	0
Catsperb	4	3	4	12	20	0	4	0	0
Tc2n	836	652	691	1015	301	582	794	547	643
Fbln5	251	188	209	565	249	177	804	551	664
Trip11	6477	5449	5529	5655	1894	2464	6753	5369	5759
Atxn3	1743	1346	1355	1451	464	863	1550	1237	1429
Cpsf2	4919	5012	4728	5212	1804	3025	5504	4457	5607
Slc24a4	0	1	2	0	57	46	9	0	2
Rin3	0	6	14	20	95	46	34	20	15
Lgmn	4148	4828	4502	2727	1092	1859	3956	2913	3800
Golga5	2384	2099	2155	2822	893	1560	3072	2482	2749
Chga	80204	104904	90858	49713	21177	36045	40395	39428	47218
Itpk1	1281	1461	1300	1172	559	977	1317	1269	1376
Mir1936	3	8	0	4	1	0	6	13	3
Moap1	16	18	19	11	14	0	14	0	12
Gm20604	9	11	12	0	1	0	2	22	12
Tmem251	767	584	547	937	283	575	1177	830	1197
AK010878	622	483	465	653	199	309	642	423	544
Ubr7	5204	4697	4142	4981	1605	2551	4396	3525	4710
Btbd7	3292	2926	2972	3512	996	1553	3241	2388	3081
Cox8c	0	0	1	0	11	0	0	0	0
Unc79	7105	5690	5851	5884	1884	3386	5357	3598	3420
Prima1	6	5	7	13	34	0	22	0	6
Fam181a	3	3	0	0	24	24	3	0	0
Asb2	0	10	4	6	79	0	14	0	9
Otub2	664	511	563	2023	765	1193	1825	1398	1616
Ddx24	6791	7427	6466	6857	2342	4177	6724	6099	6999
Ifi27l2a	7	16	6	16	20	33	13	7	2
Ifi27	1462	1583	1570	958	427	777	2119	2036	2301
Ifi27l2b	0	8	0	0	6	19	0	0	0
Ppp4r4	1617	1352	1507	1757	514	929	1623	1091	1254
Serpina10	1	6	2	3	20	4	8	3	29
Serpina6	0	0	1	0	11	18	1	4	4
Serpina1f	0	0	0	0	31	48	6	0	0
Serpina1b	19	34	17	28	27	0	9	2	11
Serpina1d	9	39	24	16	26	30	10	18	9
Serpina1a	2	2	8	3	5	0	2	0	0
Serpina1c	9	11	17	17	24	15	11	0	0
Serpina1e	68	44	52	41	40	16	16	15	15
Serpina11	0	3	0	3	30	8	6	0	2
Serpina9	0	7	0	4	26	6	5	0	0
Serpina12	3	1	0	12	42	24	2	0	0
Serpina4-ps1	0	2	0	1	16	12	1	0	0
Serpina5	0	0	1	0	8	0	0	0	0
Serpina3a	2	0	0	0	15	0	7	0	0
Serpina3b	0	0	0	0	40	0	1	0	1
Serpina3c	22	19	5	45	21	45	13	8	19
Serpina3g	0	0	2	0	2	30	6	0	1
Serpina3f	0	0	0	0	13	0	8	0	0
Serpina3h	0	0	1	5	28	15	0	11	0
Serpina3i	7	3	0	7	16	0	7	26	17
Serpina3j	5	0	3	0	12	13	0	0	0
Serpina3k	0	0	0	0	11	47	0	0	1
Serpina3m	0	0	0	0	26	27	0	0	0
Serpina3n	134	215	175	85	57	38	120	115	145
Gsc	17	9	18	18	43	0	11	6	20
Dicer1	9118	7670	8171	6341	2152	3089	8949	6829	7171
Clmn	701	616	573	513	334	241	393	285	340
Syne3	383	407	489	412	259	343	239	267	248
Snhg10	141	108	128	173	40	126	103	67	103
Scarna13	260	197	251	173	87	173	211	163	263
Mir3069	0	0	0	0	0	0	0	0	0
Glrx5	1192	1393	1053	865	380	552	1327	990	1297
Tcl1b2	0	0	0	4	21	16	6	0	2
Tcl1b1	0	0	0	5	13	17	0	0	1
Tcl1b5	0	0	1	0	10	0	0	0	0
Tcl1b3	0	2	0	0	15	0	0	0	0
Tcl1b4	0	0	0	0	22	24	12	0	0
Tcl1	0	1	5	1	19	34	9	4	2
Tunar	6	15	11	9	63	12	14	0	3
Gm2721	4	0	5	5	23	0	4	5	0
D430019H16Rik	462	547	483	237	125	130	346	249	322
AU015791	0	0	0	1	6	4	4	0	0
Bdkrb2	0	3	0	5	33	51	21	18	34
Bdkrb1	0	0	0	0	17	0	0	0	0
Atg2b	5753	5471	5486	6290	2011	3284	6459	4780	5493
Gskip	794	827	867	819	240	488	880	822	900
Ak7	2	22	19	18	69	113	24	16	12
Papola	16554	15617	14835	15494	5242	9179	20894	16456	20757
Vrk1	11955	11984	12344	14263	5118	8628	6606	5382	6680
1700121N20Rik	0	0	0	4	18	25	0	0	0
4933406K04Rik	0	0	0	4	14	0	2	0	0
4930465M20Rik	0	0	2	0	33	33	3	0	0
Bcl11b	2	4	3	14	85	116	24	0	4
Setd3	9657	10157	9207	8212	3096	5051	7357	6239	8191
Ccnk	4626	3860	4529	4582	1533	2667	4901	3954	4820
Ccdc85c	339	448	352	314	131	142	372	225	414
Hhipl1	16	30	30	126	91	67	2216	1616	1740
Cyp46a1	540	393	562	369	196	146	376	271	244
Eml1	2603	2763	2564	2157	812	1160	1890	1634	1982
Gm16596	10	10	4	1	47	23	12	0	2
Evl	6355	6146	5302	4568	1641	2382	5544	3963	4917
Mir342	28	2	3	3	2	0	5	0	2
Degs2	273	244	183	149	105	137	438	214	324
Yy1	5612	5393	5252	6647	2084	3219	5234	4438	5614
Slc25a29	440	421	498	607	290	218	342	362	341
Mir345	35	18	27	16	19	20	32	19	16
Slc25a47	82	66	91	60	73	51	116	72	80
Wars	13769	13498	12158	20547	6831	11866	27544	21353	24910
Wdr25	2080	1787	1685	2032	649	1245	1589	1175	1323
Begain	35	42	46	35	115	112	68	41	47
Dlk1	484	674	686	417	235	249	232	217	201
Meg3	8810	3405	6582	6821	2108	2892	4205	2698	2058
Mir1906-2	0	0	0	0	0	0	0	0	0
Mir1906-1	0	0	0	0	0	0	0	0	0
Mir770	0	0	0	0	0	0	0	0	0
Mir673	4	0	2	0	18	0	2	0	0
Mir493	10	2	15	9	4	0	15	7	0
Mir337	8	6	19	4	12	0	2	0	1
Mir3544	0	0	0	3	6	0	0	0	0
Mir540	9	0	5	2	14	0	5	0	2
Mir665	17	15	3	11	5	0	7	0	5
Mir3070a	25	9	9	22	6	14	21	3	4
Mir3070b	10	1	13	6	6	16	0	7	6
Rtl1	8	4	5	14	79	35	13	0	7
Mir431	9	5	6	5	10	0	1	14	0
6430411K18Rik	95	49	109	80	51	14	93	75	40
Mir433	0	0	0	0	0	0	0	0	0
Mir127	0	0	0	0	0	0	7	0	0
Mir434	2	0	5	0	3	0	3	0	0
Mir432	13	0	1	2	5	0	1	0	0
Mir3071	0	0	0	0	0	0	0	0	0
Mir136	0	0	4	0	5	0	0	0	0
Rian	8509	5795	6829	5105	1770	2652	3064	2307	2302
Mir341	15	11	25	9	12	0	5	0	5
Mir1188	19	5	7	21	5	24	9	0	2
Mir370	1	0	1	0	4	0	3	0	0
AF357425	14	2	11	18	0	0	1	6	7
AF357426	34	8	16	16	9	2	12	19	7
DQ267100	36	4	19	24	16	0	17	0	4
AF357359	287	164	255	113	38	61	86	65	73
DQ267101	31	14	8	3	3	0	5	5	12
AF357355	26	6	15	0	0	4	3	0	2
DQ267102	33	10	17	17	3	24	5	17	9
Mir882	1	0	3	4	0	0	0	5	0
Mir379	7	2	6	8	12	0	13	0	5
Mir411	0	4	0	0	3	9	3	13	0
Mir299a	0	0	0	0	5	0	5	0	0
Mir299b	0	0	0	0	0	0	0	0	0
Mir380	13	1	6	17	3	0	5	5	0
Mir1197	14	1	2	2	7	0	0	0	0
Mir323	9	0	3	2	3	0	1	0	0
Mir758	3	2	11	2	7	0	0	0	0
Mir329	5	2	7	0	7	0	3	0	2
Mir494	1	1	2	0	1	0	0	0	4
Mir679	22	3	1	4	10	0	4	0	1
Mir1193	2	3	2	3	5	0	7	0	2
Mir666	14	2	5	4	0	0	1	0	0
Mir543	0	0	0	0	0	0	0	0	0
Mir495	0	5	1	0	5	0	0	0	4
Mir667	30	6	8	17	5	0	11	9	5
Mir376c	14	5	9	5	9	0	13	8	2
Mir654	10	1	1	0	5	0	1	0	1
Mir376b	0	0	0	0	0	0	0	0	0
Mir376a	1	2	6	3	2	0	1	12	5
Mir300	8	4	10	14	8	18	9	0	0
Mir381	15	5	6	4	4	29	0	0	1
Mir487b	3	2	3	11	3	0	2	11	2
Mir539	17	4	13	4	1	17	13	0	3
Mir544	26	0	10	5	6	0	0	10	1
Mir382	42	20	27	3	4	27	2	0	3
Mir134	13	6	19	4	4	0	16	0	3
Mir668	29	1	10	10	1	0	14	0	3
Mir485	19	2	19	11	4	0	10	5	5
Mirg	501	162	323	227	85	85	139	78	90
Mir453	29	16	37	6	5	16	7	14	8
Mir154	13	1	1	0	7	0	0	3	0
Mir496a	17	10	3	6	1	0	4	6	0
Mir377	47	7	24	18	15	33	19	8	14
Mir541	7	3	12	16	3	0	16	4	3
Mir409	7	3	14	4	3	0	0	0	1
Mir412	0	0	1	0	4	0	0	0	0
Mir369	10	1	1	6	10	0	2	9	0
Mir410	0	0	0	0	0	0	0	0	0
Mir3072	12	5	21	11	6	0	4	14	9
3110009F21Rik	0	0	1	1	6	40	2	0	0
Dio3os	0	0	2	0	37	44	0	0	2
Mir1247	0	0	0	0	3	0	0	0	0
Dio3	4	3	0	3	36	30	7	0	5
Ppp2r5c	9912	10000	8996	9047	3244	5583	9959	7779	9499
B930059L03Rik	133	60	60	67	47	46	174	121	106
Dync1h1	27994	26596	22865	31497	9917	15825	36197	27942	26339
1700001K19Rik	0	4	2	3	39	19	4	0	6
Hsp90aa1	51204	44827	44714	39418	13307	22263	47128	39966	49917
Wdr20	1538	1458	1383	1443	516	981	1563	1243	1509
Mok	278	238	266	228	156	181	278	243	224
Zfp839	726	660	817	671	357	324	902	663	695
Cinp	1581	1622	1401	1543	523	763	1785	1616	1756
Tecpr2	2113	2349	2127	2913	951	1771	3257	2313	2556
Ankrd9	135	157	127	125	128	129	88	60	68
6030440G07Rik	0	0	0	0	16	0	2	0	2
Rcor1	4773	4383	4369	4824	1491	2669	4512	3340	4203
4930595D18Rik	0	4	0	0	6	0	4	0	0
Traf3	3320	3434	3513	3231	1101	1927	3866	2825	3500
Amn	27	11	21	16	92	21	23	8	22
Cdc42bpb	9326	8737	8800	8614	2935	4801	9225	6944	8450
A230065H16Rik	0	0	0	11	39	12	4	0	0
Exoc3l4	12	11	12	12	133	38	36	12	10
Tnfaip2	28	27	44	20	90	66	47	69	55
Gm266	43	48	39	21	53	33	22	26	49
Eif5	24824	21961	21178	33972	10126	18249	37136	31676	35628
Snora28	445	182	308	337	102	148	451	291	395
2810029C07Rik	256	196	220	153	91	217	167	185	191
Mark3	7008	6595	6358	7343	2352	3751	7296	5856	6889
Ckb	768	951	755	460	248	309	432	360	451
Trmt61a	283	281	223	468	240	297	840	535	665
Bag5	1322	1558	1384	1703	620	1106	1659	1514	1803
Apopt1	829	1143	884	877	353	510	1386	1147	1403
Klc1	5553	4513	5236	4662	1654	2797	4823	3808	4291
Xrcc3	938	761	816	605	268	277	642	434	642
Zfyve21	630	532	470	739	256	350	760	477	611
Ppp1r13b	2842	2757	2778	3297	1085	1778	2763	1976	2616
5033406O09Rik	2	9	12	3	40	36	34	0	10
2010107E04Rik	3093	3456	2466	1181	527	1045	1814	1512	2071
Tdrd9	11	9	14	19	142	103	35	16	20
Rd3l	0	2	0	0	9	20	0	0	0
Aspg	5	8	8	15	145	20	15	0	3
Mir3073a	0	0	0	0	2	10	1	0	0
Mir3073b	0	0	0	0	0	13	0	0	0
Mir203	0	0	0	0	1	0	3	0	0
Kif26a	75	82	125	50	234	202	115	120	121
A730018C14Rik	0	0	1	5	43	0	1	0	1
B020018J22Rik	0	4	2	0	43	0	2	0	0
A530016L24Rik	6	9	7	4	57	62	17	14	8
Tmem179	2101	2119	1755	2403	926	1070	3360	2823	3296
Inf2	702	517	580	483	414	338	1011	613	734
Adssl1	1089	923	844	862	414	507	577	514	713
Siva1	981	1049	774	879	369	383	967	814	931
Akt1	12074	12226	10899	8258	3146	5499	11982	9104	11381
Mir6939	2	4	1	6	2	0	10	17	4
Zbtb42	287	291	278	223	205	147	369	203	331
Cep170b	20821	19884	18383	22223	7520	11147	24723	18594	21802
Mir6940	14	2	7	7	2	0	6	2	4
Pld4	1	2	2	10	92	77	21	9	11
BC022687	712	723	678	993	363	777	904	675	900
Cdca4	2525	2437	2180	2908	954	1563	1875	1522	1770
Gpr132	0	9	0	6	73	48	41	24	19
Jag2	2981	3229	3246	2274	1128	1447	1950	1617	2210
Mir6941	0	0	1	10	6	0	7	0	0
Nudt14	531	794	575	469	224	304	403	380	460
Brf1	2625	1971	2395	2496	775	1288	2551	2192	2236
Btbd6	1335	1464	1349	1231	458	741	1098	956	1178
Pacs2	5795	4982	4625	4802	1605	2634	6117	4383	5231
Tex22	16	21	23	18	34	16	32	9	24
Mta1	6347	6500	5747	6359	2325	3383	6888	5042	6540
Crip2	556	645	551	365	208	306	595	325	531
Crip1	359	318	267	92	70	34	240	159	238
4930427A07Rik	2429	1956	1919	2280	729	1258	1991	1324	1537
Tmem121	429	479	384	305	154	239	330	327	434
Adam6b	3	0	0	2	15	13	6	0	0
Adam6a	4	0	0	1	3	0	0	0	0
Mir7094-1	0	0	0	0	3	0	0	0	0
Mir7094-2	0	0	0	0	6	15	0	0	0
Mir6388	0	0	0	0	2	0	0	0	0
Zfp386	1902	1433	1936	1837	561	851	1840	1530	1686
Vipr2	288	267	227	511	167	276	1156	825	1115
Wdr60	325	302	381	371	144	184	523	423	413
Esyt2	5270	4896	5351	5713	1944	3395	6199	4715	6177
D430020J02Rik	917	765	978	991	293	402	639	531	644
Ncapg2	4805	4180	4788	6025	1865	3418	3940	3646	4059
Ptprn2	12867	15136	14132	8621	3459	5573	6696	5573	7433
Gm10421	0	0	0	0	3	18	0	0	0
Gm5441	0	0	0	0	5	0	0	0	0
Mir153	0	0	3	0	0	19	8	0	0
Rapgef5	144	182	287	190	101	191	160	102	241
Cdca7l	590	691	756	594	250	533	411	384	487
Dnah11	25	45	31	33	109	122	62	64	44
Sp4	2302	2105	2184	2883	774	1655	2024	1801	2144
D230030E09Rik	0	2	0	5	7	0	3	0	0
Sp8	2887	2529	2607	5734	1820	2853	4132	2930	3602
Abcb5	0	1	2	13	20	0	4	6	1
Itgb8	19	20	29	25	30	0	34	23	14
Macc1	9	3	3	0	1	0	5	0	6
Tmem196	23	43	54	51	49	76	80	51	65
Speer6-ps1	0	0	4	0	9	0	0	0	0
2810429I04Rik	191	135	176	170	78	96	301	147	201
1700024F13Rik	23	37	23	37	20	40	48	19	24
Gdi2	17477	17903	16554	14564	4984	8750	14558	12108	15745
Fam208b	8279	7457	7929	9405	2968	5177	11557	9275	10621
Asb13	1339	1245	1196	1094	383	931	1165	921	1129
Calml3	5	1	1	0	19	0	7	0	0
Calm4	0	0	0	3	9	0	8	0	0
Calm5	0	0	0	0	0	0	0	0	0
Net1	2306	2060	2025	1776	605	1023	1460	1155	1472
Tubal3	0	0	1	4	7	5	4	0	0
Ucn3	4047	4082	2810	1014	394	401	1148	873	1024
Akr1c14	1628	1474	1382	1238	520	698	1854	1277	1878
Akr1c18	20	24	33	26	7	50	7	19	17
Akr1c13	2393	2592	2327	1730	634	978	1632	1497	1737
Akr1c19	2875	2767	2763	2342	888	1125	1371	1064	1507
Marcksl1-ps4	566	370	498	539	145	437	310	193	238
Akr1c12	3737	3335	3276	2183	686	1078	2105	1786	2172
Akr1c6	3	0	0	5	16	12	0	0	0
Akr1c20	0	0	0	1	7	15	0	0	0
Akr1c21	2	0	1	0	0	16	0	0	1
Akr1e1	1005	857	897	690	255	330	1050	732	979
1700016G22Rik	2	3	0	0	1	0	6	0	1
Klf6	1117	1281	1036	1633	554	847	3174	3175	4177
Pitrm1	5459	4771	4693	4729	1431	2381	5835	5044	5827
Pfkp	10855	11879	12749	6752	2749	5107	5781	5213	6395
Adarb2	1309	923	1167	1392	438	787	711	566	586
Wdr37	3889	3907	3998	3759	1296	2603	3884	2938	3641
Idi1	557	599	667	840	275	552	1034	859	906
Idi2	0	0	1	0	5	0	8	0	0
Gtpbp4	1616	1529	1738	2433	881	1554	2446	2017	2588
Larp4b	8587	7516	8086	9160	2591	4609	8890	7663	9582
Dip2c	4481	4020	4102	3754	1431	2287	4912	3675	4804
Zmynd11	10572	9680	9309	10575	3416	5653	10600	8496	10709
Chrm3	1166	1125	1074	738	360	655	715	536	628
Zp4-ps	0	0	0	2	21	23	5	0	0
Ryr2	358	265	227	551	326	328	627	353	415
Gm10336	828	750	594	609	215	548	910	667	827
Mtr	1300	1235	1257	1102	419	1016	1899	1439	1412
Actn2	0	0	3	12	70	96	7	11	2
Heatr1	1917	1678	1674	2207	888	1487	3661	3153	3276
Lgals8	3183	2751	3104	4026	1414	2320	5750	4940	5362
Edaradd	785	633	735	541	255	262	1115	915	897
Ero1lb	130442	123951	133491	79336	27713	49856	59035	47404	63728
Gpr137b-ps	361	245	238	513	167	220	921	696	793
Prl2c4	0	0	0	0	0	0	0	0	0
Prl2c3	0	0	0	0	0	0	0	0	0
Prl2c2	0	0	0	0	1	0	0	0	0
Prl2c5	0	0	0	0	2	0	0	0	0
Gpr137b	589	372	381	559	213	238	846	570	729
Nid1	0	2	2	1	76	18	18	0	8
Lyst	5055	4042	4637	4832	1658	2553	6677	4899	5130
