Geneid	KRS7_28_MGN3_2_DMSO	KRS7_31_MGN3_3_DMSO	KRS7_34_MGN3_4_DMSO	KRS7_29_MGN3_2_Tg6h	KRS7_32_MGN3_3_Tg6h	KRS7_35_MGN3_4_Tg6h	KRS7_30_MGN3_2_Tg24h	KRS7_33_MGN3_3_Tg24h	KRS7_36_MGN3_4_Tg24h
Spata20	0	0	0	1	0	5	0	4	0
Epn3	0	3	2	10	0	2	6	0	2
Mycbpap	17	16	13	63	24	57	56	26	47
Rsad1	426	196	435	1084	501	1047	868	592	451
Acsf2	762	297	653	629	234	603	477	383	286
Chad	17	13	15	10	10	15	8	1	22
Lrrc59	6747	4153	9580	15513	7756	16586	22034	13137	11081
Eme1	570	495	871	610	342	718	453	326	331
Mrpl27	403	240	700	957	285	895	932	640	495
Xylt2	692	246	736	820	331	874	581	408	284
Gm11541	0	0	0	0	0	0	0	1	0
Gm11545	0	6	0	5	0	0	12	3	3
Tmem92	1	1	9	1	0	6	50	6	22
Gm11544	2	0	1	4	0	0	18	7	22
Col1a1	27	8	3	9	17	3	17	12	2
Sgca	1	2	0	1	0	4	3	0	0
Hils1	1	0	0	1	0	2	0	0	0
Ppp1r9b	6368	5308	6426	7068	3883	6473	5756	4117	5839
Samd14	2358	611	2473	2621	491	2189	1725	1078	659
Pdk2	877	641	711	676	440	632	766	570	777
Itga3	916	483	1129	1154	486	1164	2088	1486	963
Dlx3	1	1	0	0	0	0	6	2	0
Dlx4	0	0	0	0	0	0	0	0	0
A730090H04Rik	0	0	0	1	0	0	2	0	0
Tac4	0	0	0	3	0	2	0	0	0
Kat7	6284	4682	8696	12486	7467	12557	9677	6065	6253
Fam117a	755	334	955	2126	663	1904	1212	1066	597
Slc35b1	3019	1629	5309	6329	2057	6161	10447	7305	3732
Spop	5710	3853	7202	8655	5226	8548	10336	6992	6946
Nxph3	2	0	5	20	3	12	5	1	0
Ngfr	14	16	41	20	17	19	8	11	0
Phb	1774	1168	3756	1480	383	1457	2466	1804	912
Zfp652os	3	0	3	2	0	1	1	1	0
B130006D01Rik	17	4	8	17	12	23	27	6	11
Zfp652	1653	1661	1808	1959	2316	2348	2476	1694	3042
Phospho1	547	212	637	610	147	584	609	342	244
Abi3	0	4	1	0	0	4	2	1	1
Gngt2	1	0	1	2	0	6	2	1	0
4833417C18Rik	36	24	46	44	10	69	40	25	13
B4galnt2	2	2	1	5	7	12	40	12	67
Igf2bp1	2	3	1	1	1	2	5	0	0
Mir3063	0	0	0	0	0	0	0	0	0
Gip	0	0	0	0	0	0	0	0	0
Snf8	1238	867	2179	1556	407	1548	2197	1646	842
Ube2z	5029	1865	6908	8525	2385	7999	6891	4234	2289
Atp5g1	2070	1046	4677	3234	611	3136	4639	3620	994
Calcoco2	0	0	0	1	0	1	1	0	0
Ttll6	0	0	0	4	1	0	10	0	5
Hoxb13	0	0	2	4	2	2	6	8	1
Gm11538	0	0	0	0	0	0	0	0	0
Gm53	0	0	0	0	0	0	1	0	0
Mir196a-1	0	0	0	0	0	0	0	0	0
Hoxb9	4	0	3	4	1	4	31	10	27
Hoxb8	0	3	0	0	0	0	6	4	6
Hoxb7	0	0	0	0	0	1	3	0	2
Hoxb5os	0	0	0	0	0	0	0	0	0
Hoxb6	0	0	0	0	0	0	3	3	0
Hoxb5	0	0	2	0	0	0	0	0	0
Mir10a	0	0	0	0	0	0	0	0	0
Hoxb4	0	0	0	0	0	0	0	0	2
Hoxb3	0	0	0	0	0	0	2	0	4
Hoxb2	0	0	0	0	0	0	2	3	0
Hoxb1	0	0	0	0	0	0	0	0	0
Gm11529	2	0	0	0	0	0	0	0	0
Skap1	2	0	0	0	0	1	8	0	0
Snx11	346	204	717	1243	269	1270	930	650	252
Cbx1	3921	4256	5406	3932	2223	3839	3856	2691	4728
Gm11517	12	5	4	25	11	39	50	34	19
Nfe2l1	7019	3996	9327	17617	7229	18165	20691	15050	12514
Copz2	698	373	847	886	338	604	1278	1043	560
Mir152	0	0	3	0	0	0	1	0	0
Cdk5rap3	1344	1059	1784	2921	1209	2927	3157	2174	2235
Prr15l	0	0	3	0	0	2	2	0	0
Pnpo	636	172	807	1121	338	1128	1181	966	291
D030028A08Rik	261	200	389	440	234	516	982	554	802
Sp2	799	754	926	1890	1327	2011	1379	695	1179
Sp6	11	6	8	35	6	17	37	17	9
Scrn2	272	78	438	562	89	456	366	258	67
Lrrc46	105	68	113	220	68	149	103	59	75
Mrpl10	1547	643	2226	2242	693	2138	2294	1510	805
Osbpl7	566	280	750	1167	351	1134	751	461	457
Mir8103	1	0	2	1	1	4	3	1	0
Tbx21	0	0	0	4	0	9	3	1	2
Tbkbp1	595	222	618	1470	345	1299	1021	552	306
Mir7235	0	0	0	0	0	0	0	0	0
Kpnb1	21161	16923	31533	36538	23203	38290	38074	24928	26716
Npepps	11173	6132	11464	10603	6052	9603	8433	5324	6105
Mrpl45	1309	910	1754	1496	814	1675	1380	990	882
Gpr179	317	116	208	233	89	128	106	70	77
Socs7	2928	1671	4389	7911	2918	8248	6729	4451	3551
Arhgap23	1504	595	1704	4051	1245	3635	2573	1555	940
4933428G20Rik	1	1	2	5	0	4	5	1	1
Srcin1	71	46	84	143	41	105	145	85	60
2410003L11Rik	0	0	0	0	1	0	2	1	0
E130012A19Rik	29	9	42	40	11	34	23	19	3
Mllt6	4487	1604	5160	8264	1964	7300	5472	3453	2058
Mir6927	0	0	0	0	0	0	0	0	0
Cisd3	1394	542	1946	1496	341	1343	1365	1109	470
Pcgf2	1220	912	1422	1727	907	1683	1523	1083	1310
Psmb3	2308	701	4595	3591	549	3099	4770	3352	787
Pip4k2b	2458	1641	3585	4426	1433	4140	4015	2761	2090
Mir8102	5	0	7	1	2	4	5	1	2
Cwc25	1264	1341	1711	2099	1248	2110	2167	1336	1618
1700001P01Rik	20	4	12	26	13	15	34	21	3
Rpl23	11577	12976	20686	22499	7149	18171	23545	15322	14123
Snora21	1	0	2	1	0	0	5	3	0
Lasp1	6955	4587	10396	9471	3272	9422	5600	4335	3293
B230217C12Rik	313	163	273	367	236	361	324	260	322
Fbxo47	119	80	137	341	194	308	380	193	189
Plxdc1	22	4	30	34	1	32	25	15	5
Arl5c	2	2	1	8	0	5	12	2	2
Cacnb1	308	150	328	982	254	726	424	270	217
Rpl19	11241	10605	17699	14903	5145	12214	16899	11637	11474
Stac2	6	2	1	6	4	2	4	4	0
Fbxl20	2631	1189	2587	4677	1922	3860	3902	2426	2116
Med1	4897	3888	6417	5293	3947	5750	7727	4941	5305
Cdk12	3851	4649	4662	5866	5429	6056	6604	4092	7895
Mir5119	2	0	4	1	7	3	2	3	4
Neurod2	0	2	0	1	0	2	1	0	0
Ppp1r1b	49	20	65	58	17	53	61	46	14
1700003D09Rik	0	0	0	0	0	0	1	0	0
Stard3	498	196	862	1507	266	1380	1138	706	286
Tcap	0	0	0	0	0	0	0	0	0
Pnmt	0	0	0	1	0	0	0	0	0
Pgap3	162	77	228	184	64	212	244	157	120
Erbb2	38	14	50	43	19	38	46	21	19
Mien1	1249	428	2321	1486	297	1392	2347	1854	520
Grb7	148	46	153	230	63	178	132	88	35
Ikzf3	0	0	0	0	0	1	3	0	0
Zpbp2	0	0	1	10	1	9	17	4	4
Ormdl3	1723	891	2854	4606	938	4227	5613	3932	1859
Gm12	0	0	0	0	0	0	0	0	0
Gsdma3	0	0	0	0	0	0	0	0	0
Gsdma2	0	0	0	0	0	1	0	0	0
Gsdma	139	70	131	106	48	79	93	74	36
Psmd3	3719	1792	4764	4843	1613	4515	4582	2988	1917
Csf3	0	0	2	1	0	0	0	4	0
Med24	2899	1447	4155	3605	1382	3667	3986	2812	1685
Thra	2436	1309	2656	2966	946	2257	2065	1366	1222
Nr1d1	1251	1071	1061	8442	3835	4338	1658	737	1100
Msl1	4120	2915	5108	4834	2701	4770	4771	3546	4012
Gm12359	12	22	20	44	13	65	66	32	33
Casc3	3478	3080	4276	6159	3190	5986	4819	3134	4251
Rapgefl1	353	142	338	579	211	451	446	270	217
Wipf2	2222	1539	2884	3048	1559	3124	2705	1788	1982
Cdc6	2043	1382	3301	6274	2546	6414	3887	2626	2373
Rara	647	231	647	919	422	772	705	476	489
Gjd3	5	2	2	3	0	5	4	1	0
Top2a	31248	36022	45055	22631	24410	29464	14263	11602	22726
Igfbp4	6273	2426	11134	5176	1547	6386	11616	9178	5100
Tns4	0	2	0	0	0	2	4	3	4
Ccr7	0	0	0	2	0	0	2	0	1
Smarce1	4123	4869	5396	6602	5396	5725	5255	3396	6679
Krt222	49	57	68	68	77	106	72	58	77
Krt24	0	0	0	0	3	0	5	0	0
Krt25	0	2	0	0	0	3	11	4	0
Krt26	0	0	0	1	0	0	3	0	1
Krt27	0	0	0	2	0	0	4	0	0
Krt28	0	0	0	0	0	1	2	1	9
Krt10	50	50	174	120	17	122	157	126	33
Krt12	0	0	0	1	0	0	6	3	0
Krt20	0	0	0	4	0	10	16	6	3
Krt23	1	0	0	1	3	15	7	9	11
Krt39	2	0	0	0	0	2	0	0	0
Krt40	0	0	0	0	0	0	0	0	0
Krtap3-3	0	0	0	0	0	0	0	0	0
Krtap3-2	0	0	0	0	0	0	0	0	0
Krtap3-1	0	0	0	0	0	0	0	0	0
Krtap1-5	0	0	0	0	0	0	0	0	0
Krtap1-4	0	0	0	0	0	0	0	0	0
Krtap1-3	0	0	0	0	0	0	0	0	0
Krtap9-3	0	0	0	0	0	0	0	0	0
Gm11938	0	0	0	0	0	0	0	0	0
Gm11937	0	0	0	0	0	0	0	0	0
Krtap2-4	0	0	0	0	0	0	0	0	0
Gm11562	0	0	0	0	0	0	0	0	0
Krtap4-1	0	0	0	0	0	0	0	0	0
Krtap4-2	0	0	0	0	0	0	0	0	0
Krtap4-7	0	0	0	0	0	0	0	0	0
Gm11563	0	0	0	0	0	0	0	0	0
Krtap4-6	0	0	0	0	0	0	1	0	0
Gm11595	0	0	0	0	0	0	0	0	0
Krtap4-8	0	0	0	0	0	0	0	0	0
Krtap4-9	0	0	0	0	0	0	0	0	0
Gm11596	0	0	0	0	0	0	0	0	0
Gm11554	0	0	0	0	0	0	0	0	0
Gm11569	0	0	0	0	0	0	0	0	0
Krtap4-13	0	0	0	0	0	0	0	0	0
Gm11564	0	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0	0	0
Krtap4-16	0	0	0	0	0	0	0	0	0
Gm11568	0	0	0	0	0	0	0	0	0
Gm11559	0	0	0	0	0	0	0	0	0
Krtap9-1	0	0	0	0	0	0	0	0	0
Gm11567	0	0	0	0	0	0	0	0	0
Krtap31-1	0	0	0	0	0	2	6	0	0
Gm11565	0	0	0	0	0	0	0	0	0
Krtap31-2	0	0	0	0	0	0	0	1	0
Krtap9-5	0	0	0	0	0	0	0	0	0
Krtap16-1	0	0	0	0	0	0	0	0	0
Krtap17-1	0	0	0	0	0	0	2	0	0
Krt33a	0	0	0	1	0	0	4	0	0
Krt33b	0	0	0	1	0	0	4	2	0
Krt34	0	0	0	0	0	0	1	5	0
Krt31	0	0	0	0	0	0	0	0	0
Krt32	0	0	0	0	0	0	0	0	2
Krt35	0	0	0	0	0	0	0	0	0
Krt36	0	0	0	0	0	0	0	0	0
Krt13	0	0	0	1	0	0	1	2	0
Krt15	0	0	0	0	0	0	1	0	0
Krt19	1	0	1	3	0	9	9	3	2
Krt9	0	0	0	0	0	0	5	0	0
Krt14	0	0	0	0	0	0	1	1	1
Krt16	0	0	0	0	0	0	0	0	0
Krt17	0	4	0	1	0	1	0	2	0
Krt42	0	0	0	1	1	0	2	3	3
Eif1	12260	5683	25409	32841	8661	32576	41412	26860	11289
Gast	3	1	8	2	1	1	5	3	0
Hap1	5778	4222	7992	8159	3053	8078	4872	3491	4193
Jup	2738	1230	3646	2292	875	2180	1302	769	716
P3h4	1638	487	1784	1460	337	983	850	664	276
Fkbp10	6	7	6	13	2	18	22	22	4
Nt5c3b	1275	1353	2091	2599	1338	2470	1820	1133	1507
Klhl10	41	16	61	83	52	121	78	51	49
Klhl11	1442	1205	1931	2082	1276	2574	2485	1560	2025
Acly	21317	13987	30466	17654	9476	17479	18902	14587	11403
Mir7116	1	0	1	0	0	0	3	0	0
Ttc25	140	92	148	347	142	226	141	76	80
Cnp	672	258	951	743	157	654	456	272	186
Dnajc7	3705	5642	5161	6709	6041	6179	5516	3610	7310
Nkiras2	495	252	781	1343	359	1167	1214	828	597
Zfp385c	2	0	1	2	0	3	2	2	3
Dhx58	106	35	81	109	19	63	64	79	58
Kat2a	1965	1126	3014	2620	1474	3048	3090	2062	1954
Hspb9	0	0	0	0	0	0	0	0	0
Rab5c	3635	1646	4615	3980	1279	3672	4313	2993	2072
Kcnh4	5	0	14	31	6	17	15	8	5
Hcrt	0	0	1	0	0	0	0	0	0
Ghdc	552	163	731	1030	269	1044	1377	776	375
Stat5b	2112	703	2544	4252	1310	3768	2253	1410	997
Stat5a	588	428	740	800	389	898	787	636	489
Stat3	2394	1626	3027	4561	2142	4574	4386	2964	2702
Ptrf	170	59	95	182	46	155	141	113	64
Atp6v0a1	9491	6315	11393	9660	5723	10343	11571	8194	7478
Mir6928	1	0	0	0	0	1	0	4	0
Naglu	2509	582	3319	2333	479	2217	2687	2060	591
Hsd17b1	52	14	66	113	55	81	64	49	45
Coasy	1353	401	1658	1687	486	1439	1861	1377	754
Mlx	1973	1242	3161	3967	1611	3549	3330	2388	1863
Psmc3ip	721	909	1235	1694	1174	1569	911	602	828
Fam134c	2536	1134	3772	4023	1338	3341	2404	2023	1233
Tubg1	3857	2985	5642	5514	2245	5456	3946	2630	2967
Tubg2	881	503	845	1126	537	996	908	483	654
Plekhh3	1290	392	1781	3293	590	3288	1878	1073	523
Ccr10	18	6	60	46	3	30	119	97	5
Cntnap1	6341	2404	8119	5768	2119	5631	4793	3640	2115
Ezh1	1632	1015	1976	4177	1869	3709	2510	1696	1842
Ramp2	379	171	378	354	83	297	275	120	146
Vps25	1866	1197	2660	2639	1120	2679	2667	1809	1742
Wnk4	11750	7839	15252	17435	5848	16970	4815	3736	4032
Coa3	1304	428	2362	2089	484	2090	1924	1322	549
Cntd1	80	27	63	102	56	71	69	29	34
Becn1	6173	3738	8127	7817	3573	7309	7560	5382	4548
Psme3	6818	5712	9597	8282	5298	8221	10077	7005	7707
Aoc2	209	79	341	414	106	377	598	336	273
Aoc3	6	10	3	12	4	22	36	6	22
G6pc	0	2	0	3	0	1	2	0	0
Aarsd1	1312	721	2085	2213	716	2398	2005	1334	849
Ptges3l	69	67	126	175	42	129	71	52	16
Mir6929	0	0	0	0	0	0	0	0	0
Rundc1	2041	1148	3012	3043	957	2657	2363	1559	1004
Rpl27	2855	1355	6795	6154	878	5158	6907	4811	1561
Ifi35	292	190	471	567	154	507	493	302	268
Vat1	3050	997	3303	2490	718	2214	2616	1813	1010
Rnd2	287	127	570	451	87	414	238	176	72
Brca1	4858	5056	6014	9266	8068	10012	5209	3399	6086
Nbr1	13075	9418	14468	21896	14449	22254	23945	15551	19980
Tmem106a	372	253	542	319	185	347	180	100	125
LOC666331	0	0	0	5	2	2	1	2	3
Rdm1	147	31	185	300	33	254	145	74	15
Arl4d	441	89	582	1137	130	784	335	226	58
Dhx8	2266	2172	3146	2716	1942	3024	3672	2504	3538
Etv4	642	321	1251	1796	446	2103	576	407	393
Meox1	1	2	6	9	3	6	3	6	2
4930417O22Rik	0	0	0	0	2	0	0	0	0
Sost	3	4	2	0	0	0	0	0	2
Dusp3	5566	3711	7214	6052	3113	6615	8459	5357	4585
1700006E09Rik	1	0	0	0	0	1	10	7	0
Mpp3	718	253	837	1116	271	1085	623	403	210
Cd300lg	0	3	1	0	0	0	0	0	0
Mpp2	3328	1399	3415	4893	1500	4449	2030	1463	1071
Ppy	0	0	0	0	0	0	0	1	0
Pyy	0	0	0	0	0	1	0	0	0
Nags	4	0	3	4	0	8	2	4	0
Tmem101	524	194	733	579	188	559	639	446	221
Lsm12	2086	2615	2306	2946	3810	2855	2499	1578	3722
G6pc3	1127	391	1617	1349	454	1420	1637	1192	573
Hdac5	2817	850	3328	7275	1834	6058	2410	1362	748
Mir8101	0	0	0	0	0	0	0	0	0
BC030867	737	401	1165	1316	572	1421	730	505	390
Asb16	6	3	2	6	9	2	2	0	0
Tmub2	1836	632	2254	3109	733	2698	3368	2467	1003
Atxn7l3	2777	1061	3549	5207	1412	4547	3309	2085	1453
Ubtf	4733	4302	6078	8621	4637	7445	6918	4205	5540
Slc4a1	0	2	0	0	0	2	1	0	0
Bloodlinc	17	9	18	27	1	22	19	8	6
Rundc3a	7236	3235	7485	8703	2962	6607	6770	4776	2958
Slc25a39	7068	1843	8838	7986	1752	7120	11303	7534	2667
Mir6930	0	0	0	0	0	0	0	0	0
Grn	17689	7897	22033	12284	5439	12619	22075	18238	7764
Fam171a2	681	116	615	937	133	754	480	236	114
Itga2b	209	41	195	314	60	224	204	137	86
Gpatch8	3017	3290	3010	5692	4872	5540	3813	2239	4666
Gm11627	1	0	0	0	0	0	1	1	0
Fzd2	1	0	0	0	1	3	0	1	0
2810433D01Rik	2	2	1	1	0	0	3	1	0
Gm1564	0	0	0	0	4	2	4	1	5
Ccdc43	2088	1944	2718	2840	2239	3021	3076	1989	3270
Adam11	82	33	177	163	87	208	262	158	99
Gjc1	0	0	0	1	2	2	1	2	6
Higd1b	0	1	0	0	0	0	0	0	0
Eftud2	5498	4266	8676	8221	4031	8525	6775	4391	4690
Ccdc103	114	50	155	264	115	240	276	102	97
Fam187a	2	0	2	2	0	0	6	0	4
Gfap	2	0	1	2	0	1	2	0	0
Kif18b	1978	1233	3074	3556	1177	3704	1506	970	830
C1ql1	1	8	0	1	2	3	1	3	0
2410004I01Rik	0	0	2	0	1	0	0	0	0
Dcakd	1807	1065	2327	2241	1107	2261	1432	831	1126
Mir6931	1	0	0	0	0	0	1	0	0
Nmt1	3857	3182	5597	6697	3205	6275	5357	3425	3553
Plcd3	8	6	23	61	6	50	40	24	4
Acbd4	275	109	415	838	128	680	474	387	137
Hexim1	2007	891	2345	1448	606	1405	1760	1294	922
Hexim2	291	154	394	568	174	423	347	220	176
Fmnl1	4	8	29	35	14	62	35	16	10
1700023F06Rik	33	12	72	51	14	71	57	35	22
Spata32	0	6	3	18	13	19	12	6	11
Map3k14	535	472	770	1884	677	1668	888	533	536
Arhgap27	396	206	450	759	225	770	453	304	159
Arhgap27os3	0	2	3	0	0	0	0	0	0
Plekhm1	953	555	1163	1327	574	1217	1247	925	773
Gm884	0	0	0	0	0	0	2	0	0
Lyzl6	0	0	0	0	0	1	0	0	0
1700072I22Rik	0	0	0	0	0	0	0	0	0
Rprml	3	0	23	7	4	13	2	5	0
Gosr2	3454	1835	5267	9091	3789	9007	9909	6372	4284
C130046K22Rik	416	244	554	579	284	636	663	449	485
Wnt9b	1	2	1	0	0	0	2	1	0
Wnt3	1	0	0	1	0	0	5	1	2
Nsf	9708	8092	12813	9029	5481	8461	7156	5049	6147
Arf2	4466	2469	7910	8485	2864	7385	4471	2812	2438
Crhr1	0	0	0	0	0	2	3	0	0
Sppl2c	0	0	0	0	0	0	0	0	0
Mapt	2507	1255	2676	3530	1523	3225	2617	1571	1325
Kansl1	4892	4126	5779	7519	5726	7973	8053	4993	7137
Cdc27	5002	5525	6750	6754	8142	7339	6810	4670	7817
Myl4	9	0	6	13	4	7	16	2	0
Gm11665	0	4	0	2	3	5	13	14	8
Itgb3	39	23	39	48	21	45	60	22	33
Efcab3	1	0	0	0	0	0	0	0	0
Mettl2	614	407	885	1720	871	1475	1580	1005	957
Tlk2	3549	5612	4191	7096	8801	7215	7485	4531	12252
1700052K11Rik	179	212	278	301	173	380	308	228	259
Mrc2	21	6	14	44	11	60	46	20	17
March10	3	0	0	6	0	4	11	1	6
Tanc2	8112	6937	9121	11505	9354	12807	10985	6494	9482
Cyb561	1755	400	2611	2459	597	2318	2219	1604	494
Gm11651	0	5	0	0	0	0	0	0	4
Ace	269	147	317	194	89	209	115	93	107
Ace3	6	3	14	22	4	23	16	6	0
Kcnh6	1666	680	1963	2613	807	2031	1083	926	504
Dcaf7	8380	3511	10993	10348	3635	10101	8098	5768	3457
Taco1	609	544	883	1048	511	1081	942	645	856
Map3k3	3441	2609	4305	5147	2923	4866	4480	3005	3524
Limd2	863	409	1413	1248	305	1143	482	386	239
Strada	814	385	1059	1455	591	1391	1042	653	469
Ccdc47	13127	19853	15552	14235	18254	15116	33267	22099	51148
Ddx42	4423	4256	5579	8217	5258	7775	7103	4381	6431
Ftsj3	3045	4549	4400	4732	4185	4948	6683	4223	8013
Psmc5	3834	3154	6448	5753	2575	5554	6215	4095	3798
Smarcd2	1054	537	1324	1843	647	1554	1339	905	712
Tcam1	5	7	5	9	2	5	11	8	1
Gh	0	2	4	0	0	0	1	0	0
Cd79b	0	0	0	0	0	0	0	0	2
Scn4a	2	4	0	1	0	4	5	3	0
Prr29	0	0	0	0	0	0	0	0	0
Icam2	0	0	0	1	3	0	2	0	0
Ern1	1482	988	1970	4157	2588	4797	6198	3904	4768
Snord104	15	23	99	73	0	67	73	56	33
Tex2	3860	3309	5734	7005	4060	7475	7088	5562	5977
Pecam1	7	3	5	20	11	14	23	18	26
Milr1	2	1	0	0	0	3	2	0	0
Polg2	127	48	226	493	106	383	190	106	72
Ddx5	36129	36857	47360	44847	40331	43594	47685	32012	52693
Mir3064	218	294	450	321	278	432	278	197	445
Cep95	951	1019	1063	1629	1463	1536	1247	750	1712
Smurf2	3498	2377	4355	3890	3092	4116	3743	2543	3891
Kpna2	7379	9604	12840	5852	4486	6081	5224	4004	6391
1810010H24Rik	112	57	101	192	83	215	153	95	115
Bptf	8465	10870	9893	10418	10781	11786	10570	6302	14332
Gm11715	3	2	0	2	0	2	0	0	0
Nol11	2203	1813	3505	3875	2895	3962	3923	2319	3123
Pitpnc1	1683	1335	2445	1447	915	1577	1093	758	1122
Psmd12	4669	4581	6224	5876	4457	5296	5684	3710	5387
Helz	3066	3666	3354	3523	3305	3855	3789	2246	4619
Mir6932	0	0	0	0	1	0	0	3	0
Cacng1	0	0	0	0	0	0	0	0	0
Cacng4	324	105	356	284	136	240	147	91	103
Cacng5	473	222	753	348	158	402	255	211	141
Prkca	2063	2105	3088	2433	2551	3303	2868	1861	3068
Mir7223	0	0	0	0	0	0	0	0	0
Apoh	0	1	0	4	0	7	5	6	0
Cep112	282	315	299	578	593	516	443	247	694
Axin2	4894	3207	5292	10329	6022	10397	7259	4853	5298
E030025P04Rik	56	94	67	61	34	44	32	21	41
Rgs9	1851	4227	2844	2511	3348	3258	2437	1923	4255
1700096J18Rik	0	3	0	0	0	0	0	0	0
Gm11696	78	78	103	131	100	171	188	126	137
Gna13	3983	2023	5376	5715	3362	6399	6087	3789	3265
Amz2	1887	1014	2854	3440	1443	3283	3232	2177	1878
LOC100503496	80	109	98	65	67	88	106	63	120
Slc16a6	2533	2094	3217	2933	2318	3034	2803	2263	2596
Arsg	145	42	207	231	81	305	336	249	210
Wipi1	2457	1587	2421	2999	1425	2636	2509	1879	1602
Prkar1a	33792	24682	43434	34059	21344	34864	29760	22184	24010
Fam20a	263	312	396	515	347	593	456	382	368
1700012B07Rik	0	0	0	0	0	1	0	0	0
1700023C21Rik	0	0	0	0	1	0	1	0	0
Abca8b	375	361	477	722	724	844	1059	764	877
Abca8a	0	0	0	0	1	1	1	1	0
Abca9	130	107	86	71	43	51	19	17	12
Abca6	2	2	0	8	5	7	14	8	2
Abca5	3529	2865	4012	3458	4069	4349	6522	4588	5529
Map2k6	116	115	186	199	190	182	98	80	40
Kcnj16	0	0	0	0	1	0	1	0	0
Kcnj2	406	333	378	160	150	174	55	55	34
BC006965	0	0	0	2	0	0	1	0	0
Sox9	386	442	495	1594	1260	1404	312	267	336
Gm11681	0	0	0	0	0	0	0	1	0
1700012H19Rik	0	0	0	0	0	0	1	0	0
2610035D17Rik	93	37	79	259	61	229	134	134	58
4732490B19Rik	0	0	0	0	0	0	2	0	0
Slc39a11	1977	826	3004	2231	700	2430	6193	4675	1888
Sstr2	148	101	234	213	122	238	738	450	356
Cog1	2141	1177	3063	3589	1338	3298	2228	1658	1279
Fam104a	1131	686	1340	2181	833	1934	1742	1088	829
D11Wsu47e	495	294	758	1602	590	1306	1025	609	512
Cpsf4l	0	2	0	0	0	0	1	0	0
Cdc42ep4	746	161	982	1502	264	1239	774	549	198
Sdk2	2698	1722	2352	3738	1716	3459	1968	1211	1789
1700092K14Rik	6	1	3	3	2	2	1	0	0
Mir466n	0	0	0	0	0	0	0	0	2
4932435O22Rik	0	1	0	0	0	1	1	0	0
Rpl38	2103	2960	6604	5484	633	4440	6918	4634	2631
Ttyh2	1257	714	1928	1579	578	1539	2394	1856	931
Dnaic2	47	52	72	69	29	89	86	79	30
Kif19a	467	160	420	424	126	364	402	285	147
Btbd17	936	314	1266	884	139	920	244	180	36
Gpr142	461	89	784	595	117	526	220	164	56
Gprc5c	689	158	906	491	75	484	247	182	135
Cd300a	0	1	0	1	0	3	1	0	1
Cd300lb	0	0	0	0	0	1	2	1	3
Cd300c	0	0	3	8	2	7	15	1	0
Cd300ld	0	0	0	0	0	0	0	1	0
AF251705	0	0	0	0	0	0	0	0	0
Gm11710	0	0	0	0	0	0	0	0	0
Gm11711	0	0	0	0	0	0	0	0	0
Cd300lh	0	0	0	0	0	0	0	0	0
Cd300e	23	17	31	13	9	8	21	12	7
Rab37	34	31	78	71	38	79	93	65	44
Cd300lf	5	2	0	3	0	2	8	3	9
Slc9a3r1	5063	2321	7408	4302	1522	4804	1925	1405	1310
Nat9	386	214	563	1052	273	938	1288	869	462
Tmem104	522	274	544	778	347	778	816	546	486
Grin2c	0	0	0	0	0	0	2	0	0
Fdxr	343	84	479	613	143	621	618	371	132
Fads6	109	13	151	330	64	266	315	237	35
Otop2	1	2	3	6	0	7	10	8	0
Ush1g	224	70	217	501	144	404	266	170	62
Otop3	15	13	24	31	2	23	8	6	3
Hid1	5833	3070	6928	13561	5757	12925	16274	10543	7826
Cdr2l	1665	1038	2073	2964	1115	2819	2724	1518	1395
Ict1	688	424	1164	1500	555	1408	1173	822	602
Atp5h	7439	7071	11233	6751	3441	5701	7090	5202	4915
Kctd2	516	312	810	1281	564	1285	1110	726	768
Trim80	2	4	1	2	0	2	6	3	0
Mir3968	0	0	0	0	0	4	0	0	0
Slc16a5	0	0	0	0	0	0	2	0	0
Armc7	187	63	258	672	181	625	482	304	147
Nt5c	322	192	473	402	136	452	366	210	152
Hn1	2265	758	4182	1932	429	1846	1418	1049	467
Sumo2	1499	2767	2597	2397	1374	2373	1912	1513	2948
Nup85	3489	1585	5537	6196	1995	5924	4827	3178	1838
Gga3	1689	1172	2174	3245	1533	3085	2348	1386	1549
Mrps7	1115	522	1844	1954	565	1808	1898	1269	689
Mif4gd	433	265	620	699	237	644	474	296	233
Slc25a19	725	521	1219	1671	566	1545	1430	889	548
Grb2	3595	2245	4566	4406	1930	4414	5235	3411	3211
2310067B10Rik	2810	1022	3196	3975	1471	4153	2719	1810	1310
Mir5621	0	0	0	0	0	0	1	0	0
Caskin2	1151	482	1747	2198	600	2479	1623	1028	707
Tsen54	398	125	653	1383	297	1234	764	474	167
Llgl2	627	220	825	1195	310	1120	593	373	175
Recql5	688	372	993	1261	444	1226	1002	697	508
Smim5	36	16	34	40	2	21	6	7	3
Smim6	603	319	1185	1251	227	945	440	371	152
Sap30bp	1979	1776	2668	2933	1634	2844	2764	1873	2630
Itgb4	272	119	319	353	157	369	190	112	73
Galk1	931	203	1235	1164	153	964	724	530	155
H3f3b	23534	13722	34811	51079	27136	50024	42313	26344	23359
Unk	1128	563	1223	2423	886	2357	1347	767	727
Unc13d	6	1	14	27	0	24	21	16	12
Wbp2	6691	3484	7988	5487	2117	5581	7337	4691	3226
